player,team,season,height_in,class_year,bats,throws,hometown_city,hometown_state,high_school
Diego Cardenas,Abilene Christian,2026,73,Sr.,LEFT,RIGHT,El Paso,TX,Riverside HS
Maddox Miesse,Abilene Christian,2026,72,Sr.,RIGHT,RIGHT,Adkins,TX,East Central HS
Nick Arias,Abilene Christian,2026,71,Sr.,RIGHT,RIGHT,Tucson,AZ,Tucson HS
Zandt Payne,Abilene Christian,2026,70,Sr.,BOTH,RIGHT,Edmond,OK,Deer Creek HS
Grant Watkins,Abilene Christian,2026,74,Sr.,LEFT,RIGHT,Los Alamos,NM,Los Alamos HS
Brady Ladusau,Abilene Christian,2026,73,Fr.,RIGHT,RIGHT,Heath,TX,Rockwall Heath High School
JT Thompson,Abilene Christian,2026,69,Sr.,LEFT,RIGHT,Abilene,TX,Wylie
Ryan Jones,Abilene Christian,2026,75,Fr.,LEFT,RIGHT,Aledo,TX,Aledo
Braden Regala,Abilene Christian,2026,68,So.,BOTH,LEFT,Abilene,TX,Wylie HS
Brady Gray,Abilene Christian,2026,72,So.,BOTH,RIGHT,Farmersville,TX,Farmersville HS
Kanon Sundgren,Abilene Christian,2026,73,Sr.,RIGHT,RIGHT,Silsbee,TX,Silsbee High School
Gavin Brzozowski,Abilene Christian,2026,73,Sr.,LEFT,LEFT,Mansfield,TX,Mansfield HS
Sam Hardcastle,Abilene Christian,2026,75,Sr.,RIGHT,RIGHT,Richmond,TX,Foster HS
Reese Borho,Abilene Christian,2026,72,Jr.,LEFT,LEFT,Abilene,TX,Wylie HS
Blaine Palmer,Abilene Christian,2026,71,Sr.,RIGHT,RIGHT,Buffalo Gap,TX,Jim Ned HS
Brett Lanman,Abilene Christian,2026,77,Jr.,LEFT,LEFT,Fairview,TX,Lovejoy HS
Baron Mannis,Abilene Christian,2026,73,Fr.,LEFT,LEFT,Argyle,TX,Argyle High School
Carson Wallace,Abilene Christian,2026,74,Fr.,LEFT,LEFT,Diana,TX,Harleton High School
Aidan Coleman,Abilene Christian,2026,73,Jr.,RIGHT,RIGHT,San Antonio,TX,Reagan
David Jeon,Abilene Christian,2026,72,Sr.,RIGHT,RIGHT,Coppell,TX,Coppell HS
Brady Coe,Abilene Christian,2026,69,So.,RIGHT,RIGHT,Fairview,TX,Allen HS
Noah Galvan,Abilene Christian,2026,71,Sr.,RIGHT,RIGHT,Fresno,CA,Clovis West HS
Collin Adams,Abilene Christian,2026,70,Jr.,LEFT,LEFT,Forney,TX,Rockwall Heath High School
Cade McGarrh,Abilene Christian,2026,75,Sr.,LEFT,RIGHT,Frisco,TX,Liberty HS
Evan Whiteaker,Abilene Christian,2026,76,Sr.,RIGHT,RIGHT,West Chester,OH,Lakota East
OJ Gonzalez,Abilene Christian,2026,72,So.,RIGHT,RIGHT,Lakeway,TX,Lake Travis HS
Caden Greanead,Abilene Christian,2026,75,Sr.,RIGHT,RIGHT,Denton,TX,Denton HS
Everett Swaim,Abilene Christian,2026,75,Jr.,RIGHT,RIGHT,Richmond,Canada,MacNeill Secondary
Logan Young,Abilene Christian,2026,75,So.,RIGHT,RIGHT,Lewisville,TX,Hebron High School
Grayson McKelvey,Abilene Christian,2026,73,Fr.,RIGHT,RIGHT,Aledo,TX,Aledo High School
Will Patterson,Abilene Christian,2026,78,Jr.,LEFT,LEFT,The Colony,TX,Hebron High School
Chase Batten,Abilene Christian,2026,72,Fr.,LEFT,LEFT,Richmond,TX,Foster High School
Garrett Hutchins,Air Force,2026,77,Fr.,LEFT,LEFT,Lucas,TX,Lovejoy High School
Wyatt Hanoian,Air Force,2026,69,Fr.,BOTH,RIGHT,Costa Mesa,CA,Silicon Valley High School
Walker Zapp,Air Force,2026,71,Sr.,RIGHT,RIGHT,Auburn,AL,Auburn
Brooks Burdine,Air Force,2026,70,Fr.,LEFT,LEFT,Aledo,TX,Aledo High School
Benjamin Niednagel,Air Force,2026,69,Sr.,LEFT,RIGHT,Santa Clarita,CA,Hart
TJ Oster,Air Force,2026,69,Sr.,RIGHT,RIGHT,Phoenix,AZ,Valley Christian
Tripp Garrish,Air Force,2026,73,Sr.,LEFT,LEFT,Belmont,CA,Carlmont
Kayden Bradshaw,Air Force,2026,73,So.,RIGHT,RIGHT,Dallas,TX,Scurry-Rosser
Landon Boyd,Air Force,2026,72,Sr.,BOTH,RIGHT,Parker,CO,Sandra Day O'Connor
Dawson Thrush,Air Force,2026,72,So.,RIGHT,RIGHT,Jupiter,FL,William T. Dwyer
Luke Elmore,Air Force,2026,72,Jr.,RIGHT,RIGHT,Panama City,FL,Mosley
Cole Jenkins,Air Force,2026,70,So.,RIGHT,RIGHT,Highlands Ranch,CO,Chaparral
Christian Taylor,Air Force,2026,71,Jr.,RIGHT,RIGHT,Davidson County,TN,Green Hill
Van Klein,Air Force,2026,72,Jr.,RIGHT,RIGHT,Flower Mound,TX,Marcus
Blake Campbell,Air Force,2026,70,Fr.,RIGHT,RIGHT,Lexington,KY,Lexington Christian Academy
Cam Anstey,Air Force,2026,72,Jr.,RIGHT,RIGHT,Winter Garden,FL,Monteverde Academy
