player,team,season,height_in,weight_lb,bats,throws,class_year,position,hometown,high_school
TYLER PFIRRMANN,Adrian College,2026,72,,RIGHT,RIGHT,So.,P,,
RAYMOND MT KEANE,Adrian College,2025,78,,RIGHT,RIGHT,Sr.,P,,
LANDON MT KIEFER,Albany State,2025,70,175,,,JR,"RHP 5'10"" 175 lbs","Parrish, FL",
GERCAL REYES ALVARADO,Albany State University (Georgia),2025,,,,,Sr.,1B,,
BENJAMIN ADDISON,Albany State University (Georgia),2026,,,RIGHT,RIGHT,Sr.,OF,,
NATHAN MT SAAVEDRA,Albany State,2025,72,200,,,SR,"OF 6'0"" 200 lbs","South Lyon, MI",
TODD LITTLE,Albany State University (Georgia),2025,,,,,Jr.,C,,
THOMAS LANDSNES,Allegheny College,2026,74,,RIGHT,RIGHT,Jr.,P,"Conneaut Lake, PA",Conneaut
AUSTIN BAKOWSKI,Allegheny College,2025,74,,RIGHT,RIGHT,Fr.,P,"Pittsburgh, PA",North Hills
ALEXANDER HARDACRE,Alma College,2026,72,,RIGHT,RIGHT,Jr.,C,"Macomb, MI",Macomb Dakota
KENNETH FISTLER,Alma College,2026,71,,RIGHT,RIGHT,Sr.,P,"Canton, MI",Canton
HAYDEN HILEMAN,Alma College,2026,76,,RIGHT,RIGHT,Fr.,P,"Bay City, MI",John Glenn
JARRYN BARBER,Anna Maria College,2025,,,,,So.,INF,,
BRADY MACCARONE,Anna Maria College,2026,,,,,Sr.,C,,
JOSH BATCHELDER,Anna Maria College,2026,,,,,Jr.,OF,,
BLAKE FULLER,Anna Maria College,2025,,,,,So.,OF,,
MATTHEW BEUKA,Anna Maria College,2026,,,,,So.,INF,,
ANTHONY BRUNO,Arcadia University,2026,,,,,Sr.,P,,
JAKE HENDERSHOT,Arcadia University,2026,72,,RIGHT,RIGHT,Fr.,C,,
ERIC   MT SHANDLER,Arcadia University,2026,70,,,,Jr.,INF,,
CAMERON NEBEL,Arcadia University,2025,73,,LEFT,RIGHT,Sr.,P,"Mechanicsburg, PA",Mechanicsburg Area
JONATHON MT HERNANDEZ,Arizona State,2025,69,,RIGHT,RIGHT,Jr.,,"La Puente, CA",South Hills
JUSTIN PLAUSKY,Assumption University,2026,74,,RIGHT,RIGHT,Sr.,INF,"Middleborough, MA",Middleborough
NICHOLAS GALEAZZI,Assumption University,2026,71,,RIGHT,RIGHT,Sr.,INF,"Hopkinton, MA",Hopkinton
PATRICK FOULIS,Assumption University,2026,69,,RIGHT,RIGHT,So.,OF,"Hadley, MA",Hopkins Academy
CLIFFORD WYSINGER,Auburn Montgomery,2025,69,180,,,Fr.,"OF 5'9"" 180 lbs","Atlanta, GA",Eagles Langing HS
AIDAN CONNERS,Aurora University,2025,,,,,Fr.,P,,
WILLIAM SEVIER,Aurora University,2025,,,,,Jr.,INF,,
CARSON FAUST,Aurora University,2025,,,,,So.,INF,,
BRANDON TODD,Aurora University,2025,76,,RIGHT,RIGHT,So.,P,"San Diego, CA",canyon Hills High School
JACK SHARKO,Aurora University,2026,,,,,Fr.,P,,
JAMIE FRYER,Bard College,2026,74,,RIGHT,RIGHT,Jr.,INF,"Washingtonville, NY",Washingtonville
JAMES KARRAS,Bard College,2025,72,,RIGHT,RIGHT,So.,OF,"Levittown, NY",Island Trees
JAMES BRUNO,Barry University,2025,69,,RIGHT,RIGHT,Sr.,INF,"Haddon Heights, NJ",Paul VI
DAVIEL FERNANDEZ,Barry University,2025,72,,RIGHT,RIGHT,Fr.,P,"Pennsauken, NJ",Gloucester Catholic HS
ALBERT   MT ESPINOSA,Barry University,2025,72,,RIGHT,RIGHT,Sr.,C,"Miami, FL",Christopher Columbus HS
WILLIAM EICH,Barry University,2025,79,,RIGHT,RIGHT,Jr.,P,"Tampa, FL",Wharton HS
MALIK FOSTER,Barry University,2025,72,,RIGHT,RIGHT,So.,P,"Nassau, Bahamas",St. Augustine's College
FELIX ARROYO,Barry University,2025,72,,LEFT,LEFT,So.,P,"Toa Alta, PR",American School
DYLAN ROSE,Barry University,2025,71,,RIGHT,RIGHT,Jr.,P,"Fort Myers, FL",Bishop Verot HS
LEONARDO VAZQUEZ,Barry University,2025,73,,LEFT,LEFT,Sr.,P,"Miami, FL",Southridge HS
HARRY VARGAS SEGURA,Barry University,2025,74,,BOTH,RIGHT,Sr.,OF,"Bronx, NY",Port St. Lucie
FELIX DIAZ,Barry University,2025,71,,RIGHT,RIGHT,Sr.,INF,"North Brunswick, NJ",Immaculata HS
XAVIER DELGADO,Barry University,2025,72,,RIGHT,RIGHT,Sr.,INF,"Warminster, PA",William Tennent HS
DYLAN PECK,Barry University,2025,71,,RIGHT,RIGHT,Jr.,P,"Fort Myers, FL",Bishop Verot HS
DANIEL LIPKA,Barry University,2025,70,,LEFT,LEFT,Jr.,P,"Hollywood, FL",Chaminade Madonna Prep
AIDEN DENTON,Barry University,2026,76,,RIGHT,RIGHT,Sr.,P,"Pitman, NJ",Pitman HS
NATANGEL SANTANA,Barry University,2025,74,,LEFT,RIGHT,Jr.,OF,"Harrisburg, PA",TNXL Academy
KENDRY NORIEGA,Barry University,2025,72,,RIGHT,RIGHT,Sr.,OF,"Miami, FL",Miami Senior HS
SAMUEL   MT ODUM,Barton College,2025,77,,RIGHT,RIGHT,Jr.,P,"Lexington, NC",Pfeiffer Univ.
IAN MURPHY,Barton College,2025,73,,RIGHT,RIGHT,Jr.,1B,"West Deptford, NJ",West Deptford
BRADY DUNLOP,Barton College,2025,76,,RIGHT,RIGHT,Fr.,P,"Clayton, NC",Corinth Holders
ANTHONY CRUDO,Barton College,2025,72,,RIGHT,RIGHT,Fr.,OF,"Pt Pleasant, NJ",St. Rose
BLAKE MT ALTSCHULER,Barton College,2025,76,,RIGHT,RIGHT,So.,P,"Concord, NC",
JOSEPH BUCKLEY II,Barton College,2025,73,,RIGHT,RIGHT,Jr.,P,"Plymouth Meeting, PA",Harford CC
YARIEL DIAZ,Barton College,2025,72,,RIGHT,RIGHT,Jr.,C,"Fort Myers, FL",Middle Georgia State Univ.
EVAN HARDING,Barton College,2026,74,,RIGHT,RIGHT,Sr.,P,"Buffalo, NY",Limestone Univ.
SALVATORE LAIMO,Barton College,2025,70,,RIGHT,RIGHT,Jr.,INF,"Philadelphia, PA",Saint John Neumann & Maria Goretti
NICHOLAS MT NAPOLITANO,Barton College,2025,74,,RIGHT,RIGHT,Jr.,P,"North Massapequa, NY",Caldwell Univ.
DANTE ONORATO,Barton College,2025,70,,LEFT,LEFT,So.,P,"Cinnaminson, NJ",Paulsboro
JOSEPH RAUSCHER,Barton College,2025,73,,RIGHT,RIGHT,Jr.,P,"Plymouth Meeting, PA",Harford CC
ARAMIS SALMERON,Barton College,2025,73,,RIGHT,RIGHT,Jr.,P,"Chicago, IL",Olive-Harvey Coll.
GARRETT MT PAYNE,Barton College,2025,72,,RIGHT,RIGHT,Fr.,P,"Greensboro, GA",Lake Oconee Acad.
DAWSON BOCHENEK,Barton College,2025,72,,RIGHT,RIGHT,Jr.,UT,"Homer Glen, IL",Olive Harvey Coll.
JACOB CABANISS,Barton College,2026,74,,RIGHT,RIGHT,So.,INF,"Carthage, NC",The O'Neal School
DIEGO SARABIA,Bates College,2026,75,,RIGHT,RIGHT,Sr.,P,"Atlanta, GA",The Lovett School
MATTHEW SHRAKE,Bates College,2025,73,,LEFT,LEFT,Sr.,P,"Chicago, IL",The Latin School of Chicago
KENNETH CARLISLE,Bates College,2026,76,,RIGHT,RIGHT,Jr.,P,"South Portland, ME",South Portland
TAYLOR HOLLIER,Belhaven University,2025,,,,LEFT,Fr.,P,"Opelousas, LA",Opelousas Catholic HS
HUDSON CONNER,Belhaven University,2025,,,RIGHT,RIGHT,Fr.,P,"Basile, LA",Eunice HS
WILLIAM EDGERTON,Belmont Abbey College,2025,76,,RIGHT,RIGHT,Jr.,P,"Greer, SC",Riverside HS
ETHAN WENDT,Belmont Abbey College,2026,,,RIGHT,RIGHT,Fr.,UT,"Stedman, NC",Grace Christian School
TRAVIS WILSON,Belmont Abbey College,2026,73,,RIGHT,RIGHT,Sr.,C,,
PRESTON HALL-POINTER,Benedict College,2025,,,,,Jr.,p,,
JUAN GUARDADO,Benedict College,2025,72,,RIGHT,RIGHT,Jr.,C,"La Puente, CA",Nogales HS
SHANE WILLIAMS,Benedict College,2025,,,,,So.,p,,
BRAILIN DURAN,Benedict College,2025,,,,,Jr.,p,,
NICHOLAS GIOIA,Benedict College,2025,,,,,So.,p,,
YOSMILL DIAZ,Benedict College,2025,,,,,Jr.,c,,
MICHAEL MT BUDORICK,Benedictine University (Illinois),2026,73,,LEFT,RIGHT,Sr.,OF,"Glenview, IL",Glenbrook North
DREW ANDERSON,Benedictine University (Illinois),2025,,,RIGHT,RIGHT,Jr.,P,,
JOHN CREVISTON,Benedictine University (Illinois),2025,71,,LEFT,LEFT,Sr.,P,"Westchester, IL",Brother Rice
GREG MT CRISTINO,Bloomsburg,2025,74,200,R,R,Sr.,INF,"Haddonfield, NJ",Haddonfield Memorial
WESTON   MT GINGERICH,Bradley,2025,70,,LEFT,LEFT,Sr.,,"Carmel, IN",Guerin Catholic
MARCO RATERMANN,Brandeis University,2025,69,,RIGHT,RIGHT,So.,P,"Roaming Shores, OH",Academy of Information Technology and Engineering
JANSEN LANDEN,Brandeis University,2025,75,,RIGHT,RIGHT,So.,P,"Swampscott, MA",Austin Prep
MICHAEL COBB,Bridgewater State University,2025,71,,LEFT,LEFT,So.,P,"Waltham, MA",Waltham
NICHOLAS MT REISER,Bridgewater State University,2025,70,,RIGHT,RIGHT,Sr.,P,"Nahant, MA",Swampscott
JOHN OMALLEY,Bucknell,2024,80,,RIGHT,RIGHT,Fr.,,"Irvine, CA",Crean Lutheran
MADDOX   MT MCDONALD,Trinity University (Texas),2025,73,,RIGHT,RIGHT,So.,OF,"San Antonio, TX",Antonian Prep
TRAJAN   MT LEE,Trinity University (Texas),2025,76,,RIGHT,RIGHT,Jr.,P,"Dallas, TX",John Paul II
ZACHARY BAUERS,Cairn University,2026,72,,RIGHT,RIGHT,Sr.,OF,"Perkasie, PA",
GUSTAVO VILLEGAS,Cairn University,2025,69,,RIGHT,RIGHT,Fr.,INF,"Plantation, FL",Plantation
DOMINIC CARAFA,Cairn University,2025,69,,RIGHT,RIGHT,Jr.,2B,"Broomall, PA",
CASEY FLETCHER,Cairn University,2025,70,,LEFT,LEFT,Fr.,P,"Stafford, VA",North Stafford
BENJAMIN GAGNON,Cairn University,2025,75,,RIGHT,RIGHT,Jr.,INF,"Bethlehem, PA",
ANDREW HOLT,Cairn University,2025,74,,LEFT,RIGHT,So.,INF,"Sunrise, FL",Western High
EVAN HUGHES,Cairn University,2025,71,,RIGHT,RIGHT,Jr.,P,"Langhorne, PA",Neshaminy
MICHAEL KIM,Cairn University,2025,72,,RIGHT,RIGHT,Fr.,OF,"Harrington Pk, NJ",No. Valley Old Tappan
STEPHEN PERSIANI,Cairn University,2026,68,,LEFT,LEFT,So.,OF,"Rancho Santa Margarita, CA",Capistrano Valley Christian
NOAH RUSH,Cairn University,2026,69,,RIGHT,RIGHT,Fr.,C,"York, PA",West York Area Highschool
JAYMES SARIANO,Cairn University,2026,69,,BOTH,RIGHT,Jr.,UT,"Langhorne, PA",Neshaminy
NATHAN SCHURGA,Cairn University,2025,70,,LEFT,RIGHT,So.,INF,"Wilmington, DE",Conrad Schools of Science
NICHOLAS SIMONETTI-BENSON,Cairn University,2025,74,,LEFT,LEFT,Jr.,P,"Philadelphia, PA",Father Judge
CHRISITAN SPADEA,Cairn University,2026,75,,RIGHT,RIGHT,Jr.,1B,"Yardley, PA",Pennsbury
GAVIN SWITZER,Cairn University,2025,68,,RIGHT,RIGHT,Jr.,P,"Millersville, PA",Penn Manor
JOSHUA THIERO,Cairn University,2026,66,,RIGHT,RIGHT,So.,OF,"Wayne, NJ",Wayne Hills
JOSHUA SMELTZER JR.,Cairn University,2026,66,,RIGHT,RIGHT,So.,OF,"Wayne, NJ",Wayne Hills
DANIEL LAMLAMAY,Cairn University,2025,69,,RIGHT,RIGHT,Jr.,C,"Franklin, NJ",Wallkill Valley Regional
GREG JESSUP,Cairn University,2025,72,,RIGHT,RIGHT,Jr.,P,"Tyler, TX",McKinney Christian Academy
DANIEL TAPP,Cairn University,2025,72,,RIGHT,RIGHT,So.,C,"Baltimore, MD",Boys Latin School of Maryland
JAMES WTULICH,Cairn University,2025,73,,RIGHT,RIGHT,Jr.,OF,"Vernon, NJ",Vernon Twp.
ALFREDO GONZALEZ,Caldwell University,2026,71,,RIGHT,RIGHT,So.,INF,"Kenilworth, NJ",David Brearley
CHRISTIAN PETINO JR,Caldwell University,2026,66,,BOTH,RIGHT,Sr.,INF,"Marlton, NJ",Cherokee
JAY CRUZ,Caldwell University,2025,73,,RIGHT,RIGHT,Fr.,P,"Perth Amboy, NJ",Perth Amboy
ALFONSO ESPOSITO,Caldwell University,2025,73,,RIGHT,RIGHT,Jr.,P,"Middlesex, NJ",Middlesex
MARCO MALERBA,"California State Polytechnic University, Pomona",2025,73,,LEFT,RIGHT,Sr.,INF,"Glendora, CA",Glendora HS
CLAY MT PORTER,"California State Polytechnic University, Pomona",2025,71,,RIGHT,RIGHT,Sr.,INF,"Hesperia, CA",Sultana HS
DAVID ALLEN,"California State Polytechnic University, Pomona",2025,74,,LEFT,RIGHT,Jr.,INF,"Eastvale, CA",Eleanor Roosevelt HS
DANIEL VIERRA,"California State University, Chico",2025,72,,RIGHT,RIGHT,Sr.,UT,"Whittier, CA",Whittier HS
TROY KENT,"California State University, Chico",2025,72,,LEFT,RIGHT,Sr.,OF,"Huntington Beach, CA",Marina HS
JOSEPH LOUBERT,"California State University, Chico",2025,75,,RIGHT,RIGHT,Sr.,P,"Las Vegas, NV",Palo Verde HS
KOREY LIKENS,"California State University, Chico",2025,72,,RIGHT,RIGHT,Jr.,OF,"Bakersfield, CA",Centennial HS
NOAH   MT KARLINER,"California State University, Dominguez Hills",2025,76,,RIGHT,RIGHT,Sr.,UT,"Huntingtn Bch, CA",Fountain Valley HS
DYLAN SCHUMACHER,"California State University, Dominguez Hills",2026,77,,RIGHT,RIGHT,Sr.,P,,
TREY   MT WINGET,"California State University, Dominguez Hills",2025,74,,LEFT,RIGHT,Sr.,OF,"Saint George, UT",
DYLAN   MT SINGH,"California State University, Dominguez Hills",2025,69,,LEFT,LEFT,Jr.,P,"Culver City, CA",Culver City HS
MASANOBU SASAKI,"California State University, Dominguez Hills",2025,,,RIGHT,RIGHT,Jr.,P,,
JACOB PFITZNER,"California State University, Dominguez Hills",2026,76,,RIGHT,RIGHT,Jr.,OF,"Long Beach, CA",Lakewood High School
JOEL GAITAN,"California State University, Dominguez Hills",2025,74,,RIGHT,RIGHT,Sr.,P,"Rancho Cucamonga, CA",
JAYLEN HODGES,"California State University, East Bay",2025,72,,RIGHT,RIGHT,So.,INF,"Sacramento, CA",C.K. McClatchy HS
JAKE SEARLES,"California State University, East Bay",2025,70,,RIGHT,RIGHT,Fr.,P,"Long Beach, CA",St. Anthony HS
RYAN JURIC,"California State University, East Bay",2026,76,,RIGHT,RIGHT,Sr.,P,"Livermore, CA",Granada High School
CALEB SCHAEFFER,"California State University, East Bay",2026,70,,RIGHT,RIGHT,Sr.,INF,"Livermore, CA",De La Salle HS
DANELLE DANIELS,"California State University, East Bay",2025,69,,RIGHT,RIGHT,Sr.,OF,,
MALIK CLAYTON,"California State University, Los Angeles",2025,71,,RIGHT,RIGHT,Sr.,C,"Los Angeles, CA",Culver City HS
ISAIAH MARQUEZ,"California State University, Los Angeles",2026,72,,RIGHT,RIGHT,Jr.,INF,"Fresno, CA",Clovis North HS
JOEL MARTINEZ,"California State University, Los Angeles",2025,75,,RIGHT,RIGHT,Sr.,P,"Norwalk, CA",Gahr HS
AIDAN   MT LEE,"California State University, Monterey Bay",2025,77,,RIGHT,RIGHT,Sr.,P,"Live Oak, CA",Monte Vista Christian
JAVIER   MT FELIX,"California State University, Monterey Bay",2025,74,,RIGHT,RIGHT,Sr.,INF,"Watsonville, CA",Santa Cruz
VINCENT MT CICOLELLO,"California State University, Monterey Bay",2025,,,,,Sr.,p,,
PHOENIX SOMMAY,"California State University, San Marcos",2025,70,,RIGHT,RIGHT,Jr.,UT,"Temecula, CA",Chaparral HS
TREVOR MT EBY,"California State University, San Marcos",2025,74,,RIGHT,RIGHT,Sr.,P,"Palm Desert, CA",Palm Desert HS
SPENCER ANDERSON,"California State University, San Marcos",2025,76,,LEFT,RIGHT,Sr.,P,"Danville, CA",De La Salle HS
ZAVIEN MT WATSON,"California State University, San Marcos",2025,75,,RIGHT,RIGHT,Sr.,OF,"San Diego, CA",Cathedral Catholic HS
DYLAN UNANGST,"California State University, San Marcos",2026,72,,LEFT,LEFT,So.,P,"Rancho Cucamonga, CA",Rancho Cucamonga High School
JORDAN TOWNLEY,"California State University, San Marcos",2025,73,,RIGHT,RIGHT,Jr.,P,"Victorville, CA",Snowline Virtual Academy
MASEN MT MCDONNELL,"California State University, San Marcos",2025,72,,LEFT,RIGHT,Sr.,P,"San Juan Capistrano, CA",Capistrano Valley HS
LUKE MT HIGGINS,"California State University, San Marcos",2026,73,,RIGHT,RIGHT,Sr.,P,"Laguna Beach, CA",Hillcrest HS
JACKSON BROOKS,"California State University, Stanislaus",2025,73,,LEFT,LEFT,Sr.,OF,"Exeter, CA",Exeter HS
JOSHUA OCHOA,"California State University, Stanislaus",2025,70,,RIGHT,RIGHT,Sr.,P,"Nuevo, CA",Nuview Bridge
VICTOR MUNOZ,Cameron University,2025,74,,,,Sr.,P,"El Paso, TX",Cathedral HS
WILMER HENRIQUEZ,Cameron University,2025,70,,,,Jr.,,"New Brunswick, NJ",
GABE CLYDEN,Cameron University,2025,70,,RIGHT,RIGHT,Jr.,INF,"Piedmont, OK",Piedmont HS
LUKE LENSING,Cameron University,2025,76,,,,Sr.,P,"Mansfield, TX",Mansfield HS
AIDAN DUGGAN,Cameron University,2026,,,,,Jr.,,,
CODY HILL,Cameron University,2025,74,,,,Jr.,,"Muenster, TX",
HUNTER HITT,Cameron University,2026,72,,,LEFT,So.,P,"Sunnyvale, TX",Sunnyvale High School
KALEB ROBERTS,Cameron University,2026,,,,,So.,,,
ZANE ROOS,Cameron University,2026,,,,,So.,,,
BEN MT KARPOWICZ,Campbell,2025,72,,RIGHT,RIGHT,So.,,"Elgin, IL",South Elgin HS
DJ MT AKIYAMA,Campbell,2025,73,,,,R-Jr.,"Infield 6'1""","'Aiea, O'ahu Hawaii",'Aiea HS
JULIAN MT HINES,Carson-Newman,2025,,,,,Fr.,,,
ANDREW MT SHARP,Central Washington University,2025,72,,LEFT,RIGHT,Jr.,INF,"Santa Clarita, CA",Grace Brethren HS
MAX MT BLEDY,Central Washington University,2026,72,,RIGHT,RIGHT,Sr.,OF,"Wilsonville, OR",Wilsonville HS
LEWIS   MT RICE,Charleston Southern,2025,70,,LEFT,RIGHT,Sr.,,"Holly Hill, SC",IMG Academy
BRADLEY GRINDLINGER,Charleston Southern,2025,74,,RIGHT,RIGHT,Fr.,,"Huntington Beach, CA",Huntington Beach HS
COLBY SEELIG,Chestnut Hill College,2025,,,,,Jr.,OF,,
ZACHARY BRAIG,Chestnut Hill College,2025,69,,RIGHT,RIGHT,Fr.,C,,
CHRISTIAN MT PELUSO,Chestnut Hill College,2025,69,,RIGHT,RIGHT,Jr.,C,"Bridgewater, NJ",Seton Hall Prep
SCOTT ENNIST,Chestnut Hill College,2025,72,,RIGHT,RIGHT,Jr.,OF,"Poughkeepsie, NY",
AAREON MONROE,Chestnut Hill College,2025,77,,RIGHT,RIGHT,Jr.,OF,"Philadelphia, PA",Science Leadership Academy
CADEN   MT RECTOR,Chowan,2025,68,,,,Sr.,"Infield 5'8""","Knoxville, TN",Columbia State CC
MICHAEL LARSON,Christian Brothers University,2026,76,,LEFT,LEFT,Sr.,P,"Bowie, MD",
ANTHONY GAMBOA JR,Christian Brothers University,2025,74,,RIGHT,RIGHT,Jr.,P,"Pittsburg, CA",Pittsburg HS
ANDREW REED,Christian Brothers University,2025,70,,RIGHT,RIGHT,Sr.,OF,"Brownsville, TN",
LAWSON RYAN,Christian Brothers University,2025,70,,RIGHT,RIGHT,So.,P,"Nashville, TN",
BRANTON STRINGER,Christian Brothers University,2025,77,,RIGHT,RIGHT,So.,P,"Hartselle, AL",Hartselle HS
ELI POTTER,Christian Brothers University,2025,72,,LEFT,LEFT,Fr.,P,"Burns, TN",Dickson County
JALEN MT SMITH,Christian Brothers University,2025,76,,RIGHT,RIGHT,So.,INF,"Tampa, FL",Tampa Jesuit HS
HUDSON MT LEE,Clemson,2025,76,,RIGHT,LEFT,So.,,"Roebuck, SC",Dorman HS
DEREK WOODS,Colby College,2026,,,,,Sr.,P,,
PATRICK SHRAKE,Colby College,2026,,,,,Jr.,INF,,
LUKE WHITNEY,Colby College,2026,,,,,So.,UT,,
CHRISTOPHER MT POLEMENI,College of Staten Island,2025,72,,RIGHT,RIGHT,So.,OF,"Staten Island, NY",St. Peter's Boys'
CHRISTOPHER BARTNIK,College of Staten Island,2026,70,,RIGHT,RIGHT,So.,P,,
GAUGE   MT LOCKHART,Colorado Mesa University,2025,76,,RIGHT,RIGHT,Sr.,P,"Delta, CO",Delta
JACKSON HELBERG,Colorado Mesa University,2026,72,,RIGHT,RIGHT,Fr.,P,"Los Angeles, CA",Crespi Carmelite High School
ETHAN NUNEZ,Colorado Mesa University,2025,76,,RIGHT,RIGHT,So.,OF,"Chino Hills, CA",Ayala
SEAVER NEWBY,Colorado School of Mines,2025,79,,RIGHT,RIGHT,So.,P,"Southlake, TX",Carroll
ROBERT GORLING,Colorado School of Mines,2025,76,,RIGHT,RIGHT,Jr.,P,"The Woodlands, TX",The Woodlands College Park
COLLINS ST. AMANT,Colorado School of Mines,2025,74,,RIGHT,RIGHT,Jr.,P,"Cypress, TX",Cy-Fair
IAN SEGNA,"Concordia University, St. Paul",2025,,,,,So.,P,,
KADEN RUSSO,"Concordia University, St. Paul",2026,,,,,Jr.,OF,,
JAG VERDERY,Covenant College,2025,,,,,So.,OF,,
ETHAN GOEBERT,Covenant College,2026,78,,RIGHT,RIGHT,Jr.,P,"New Port Richey, FL",Homeschool
MILLER POLLARD,Covenant College,2025,,,,,Fr.,OF,,
ETHAN ALLEN,Covenant College,2026,78,,RIGHT,RIGHT,Jr.,P,"New Port Richey, FL",Homeschool
