player,team,season,height_in,weight_lb,bats,throws,class_year,position,hometown,high_school
JT Thompson,Abilene Christian,2026,68.0,150.0,L,R,Sr.,INF,"Abilene, Texas",Wylie HS
Zandt Payne,Abilene Christian,2026,70.0,182.0,S,R,Gr.,INF,"Edmond, Okla.",Deer Creek HS
Cade McGarrh,Abilene Christian,2026,75.0,190.0,L,R,Sr.,INF/RHP,"Frisco, Texas",Liberty HS
Caden Greanead,Abilene Christian,2026,75.0,212.0,R,R,Gr.,RHP,"Denton, Texas",Denton HS
Nick Arias,Abilene Christian,2026,71.0,202.0,R,R,Sr.,INF,"Tucson, Ariz.",Tucson HS
Carson Wallace,Abilene Christian,2026,74.0,203.0,L,L,Fr.,LHP,"Harleton, Texas",Harleton HS
Brady Coe,Abilene Christian,2026,70.0,196.0,R,R,So.,INF / RHP,"Fairview, Texas",Allen HS
Grant Watkins,Abilene Christian,2026,74.0,230.0,L,R,Sr.,INF,"Los Alamos, N.M.",Los Alamos HS
Kash Wood,Abilene Christian,2026,75.0,215.0,R,R,Fr.,INF/OF,"Sinton, Texas",Sinton HS
Brady Gray,Abilene Christian,2026,72.0,203.0,S,R,So.,C,"Farmersville, Texas",Farmersville HS
Blaine Palmer,Abilene Christian,2026,71.0,170.0,R,R,Sr.,RHP,"Buffalo Gap, Texas",Jim Ned HS
Sam Hardcastle,Abilene Christian,2026,75.0,224.0,R,R,Sr.,INF,"Richmond, Texas",Foster HS
Diego Cardenas,Abilene Christian,2026,72.0,237.0,L,R,Sr.,INF,"El Paso, Texas",Riverside HS
Luke Baier,Abilene Christian,2026,77.0,223.0,L,R,Sr.,C,"Wenatchee, Wash.",Wenatchee HS
Baron Mannis,Abilene Christian,2026,73.0,183.0,L,L,Fr.,LHP,"Argyle, Texas",Argyle HS
Thomas Schnabel,Abilene Christian,2026,69.0,180.0,R,R,Fr.,OF,"Driftwood, Texas",Johnson HS
Noah Galvan,Abilene Christian,2026,71.0,195.0,R,R,Gr.,RHP,"Fresno, Calif.",Clovis West HS
Ryan Jones,Abilene Christian,2026,74.0,206.0,L,R,R-Fr.,INF/OF,"Aledo, Texas",Aledo HS
