player,team,season,height_in,weight_lb,bats,throws,class_year,position,hometown,high_school
Matthew Hollar,Emory & Henry,2026,69,165,R,R,Sr.,P,,
Jaret Hoppes,Emory & Henry,2026,72,140,R,R,So.,INF,,
Luke Roberts,Emory & Henry,2026,72,190,R,R,Sr.,INF,,
Ryan Paynton,Emory & Henry,2026,69,160,R,R,Jr.,INF,,
Drew Park,Emory & Henry,2026,72,190,R,R,Sr.,INF,,
"Stuart Callahan, III",Emory & Henry,2026,73,185,R,R,So.,OF,,
Hunter Word,Emory & Henry,2026,76,240,R,R,So.,P,,
Jack Ferguson,Emory & Henry,2026,70,180,R,R,Jr.,INF,,
Rhett Barker,Emory & Henry,2026,69,175,R,R,So.,OF,,
Isaiah Bracy,Emory & Henry,2026,70,160,R,R,Sr.,OF,,
Cade Varner,Emory & Henry,2026,73,160,R,R,Sr.,P/INF,,
Clay Caldwell,Emory & Henry,2026,67,165,L,L,Sr.,OF,,
Maddox Harwood,Emory & Henry,2026,72,155,L,R,Fr.,OF,,
Mark Moore,Emory & Henry,2026,70,165,L,L,Sr.,P,,
Jadden Rodriguez,Emory & Henry,2026,70,195,L,R,Jr.,P/OF,,
Aidan Palmer,Emory & Henry,2026,68,150,R,R,So.,C,,
J.D. James,Emory & Henry,2026,73,225,L,L,Jr.,INF,,
Carter Lyons,Emory & Henry,2026,69,190,R,R,So.,OF,,
Carter Sayers,Emory & Henry,2026,73,205,R,R,So.,P,,
Jeriel Lamboy,Emory & Henry,2026,70,155,R,R,Jr.,INF,,
Sam Kelly,Emory & Henry,2026,70,175,R,R,Jr.,C,,
Drew Lanzo,Emory & Henry,2026,73,200,L,L,Jr.,P,,
Alex Vaught,Emory & Henry,2026,73,255,R,R,Sr.,P,,
Brady Halstead,Emory & Henry,2026,77,195,R,R,Sr.,P,,
Garrett Arner,Emory & Henry,2026,71,195,R,R,Jr.,P,,
Kyle Fields,Emory & Henry,2026,74,235,R,R,Jr.,P/INF,,
Brett Fields,Emory & Henry,2026,74,175,R,R,So.,P,,
Beckett Dotson,Emory & Henry,2026,77,235,L,L,Fr.,P/INF,,
Ivan Delp,Emory & Henry,2026,73,150,R,R,Jr.,P,,
Cole Gillis,Emory & Henry,2026,74,165,R,R,So.,P,,
Jacob Nester,Emory & Henry,2026,74,220,R,R,Sr.,P/INF,,
Jaxon Ehret,Emory & Henry,2026,72,200,R,R,Fr.,C,,
David Rodriguez,Emory & Henry,2026,72,235,R,R,Fr.-RS,C,,
Mason Price,Emory & Henry,2026,73,170,R,R,Fr.,P,,
Jase Kotwicki,Emory & Henry,2026,68,145,L,L,Fr.,OF,,
Billy Baxter,Emory & Henry,2026,72,175,R,R,Jr.,P,,
Avery Salyer,Emory & Henry,2026,76,225,R,R,Sr.,P,,
Garrett Williams,Emory & Henry,2026,75,275,R,R,Sr.,P,,
Ky Gregoire,Emory & Henry,2026,69,210,L,R,Sr.,C,,
Alec Krogel,Georgetown (KY),2026,75,175,,,JR,RHP,"Richland, MI",Kalamazoo Valley CC
McLeod Sell,Georgetown (KY),2026,70,150,,,JR,INF,"Melbourne, Australia",Dakota College
Braxton Burse,Georgetown (KY),2026,72,165,,,SO,RHP,"Lexington, KY",Frederick Douglass HS
Davis Johnson,Georgetown (KY),2026,71,183,,,SO,INF,"Mt. Sterling, KY",Huntingdon College
Elijah Verge,Georgetown (KY),2026,71,205,,,SO,OF,"Nashville, TN",Lipscomb Academy
Sam Zeller,Georgetown (KY),2026,68,155,,,JR,INF,"Louisville, KY",Christian Academy Louisville
Nathan Odaira,Georgetown (KY),2026,67,180,,,JR,OF,"Suzano, Brazil",Prairie State College
Henry Cruz,Georgetown (KY),2026,70,175,,,SO,INF,"French Lick, IN",Springs Valley HS
Oakland Flodell,Georgetown (KY),2026,72,200,,,JR,OF,"Dundurn, Canada",Northeastern CC
Hideyoshi Kawahara,Georgetown (KY),2026,72,180,,,JR,RHP,"Tokoyo, Japan",Riverland CC
Chris Lenocker,Georgetown (KY),2026,76,205,,,SR,RHP,"Clovis, CA",West Hills College Coalinga
Braylon Titler,Georgetown (KY),2026,69,185,,,FR,LHP,"Nicholasville, KY",East Jessamine HS
Oscar Aude,Georgetown (KY),2026,72,190,,,SO,OF,Dominican Republic,Centro Educativo America Latina
Hunter Hampton,Georgetown (KY),2026,69,185,,,SO,C,"Morehead, KY",Rowan County HS
Nikayha Castro,Georgetown (KY),2026,73,190,,,SR,RHP,"Madera, CA",West Hills College Coalinga
Ashton Deskins,Georgetown (KY),2026,74,230,,,SR,RHP,"Delbarton, WV",Belfry HS
Ryan Lynch,Georgetown (KY),2026,72,215,,,JR,OF,"Louisville, KY",Christian Academy Louisville
Mitchell Knight,Georgetown (KY),2026,72,185,,,SR,RHP,"Long Beach, CA",Lakewood HS
Brody Mangis,Georgetown (KY),2026,69,190,,,FR,C,"Louisville, KY",DeSales HS
Julien Mendoza,Georgetown (KY),2026,69,180,,,JR,INF,"Rochester, NY",Monroe CC
Abel Ramos,Georgetown (KY),2026,70,185,,,JR,RHP,"Hanford, CA",West Hills College Coalinga
David Edwards,Georgetown (KY),2026,72,190,,,JR,LHP,"Marysville, IN",Dyersburg State CC
Corbin Ausman,Georgetown (KY),2026,76,180,,,JR,RHP,"Cincinnati, OH",Frontier CC
Hunter Burns,Georgetown (KY),2026,67,180,,,JR,C,"Leesburg, OH",Hocking College
Sam Turilli,Georgetown (KY),2026,74,195,,,SR,RHP,"Stanton, MO",Webster University
Nathan Beaven,Georgetown (KY),2026,76,195,,,SO,RHP,"Georgetown, KY",Great Crossing HS
Jackson Hughes,Georgetown (KY),2026,77,215,,,FR,INF,"Lexington, KY",Lexington Catholic
Zander Smith,Georgetown (KY),2026,77,225,,,FR,RHP,"Paducah, KY",McCracken County HS
Diondre Jacob,Georgetown (KY),2026,73,210,,,SR,OF,"Tell City, IN",Tell City HS
Luis Romero,Georgetown (KY),2026,73,220,,,JR,INF,Venezuela,Prairie State College
Caden Noble,Georgetown (KY),2026,72,190,,,SO,RHP,"Honolulu, HI",Radford HS
Joshua Hamilton,Georgetown (KY),2026,71,235,,,FR,C,"Brooksville, KY",Bracken County HS
Braden Sustarich,Georgetown (KY),2026,70,180,,,FR,RHP,"Crittenden, KY",Grant County HS
Tanner VanBerg,Georgetown (KY),2026,75,195,,,JR,RHP,"Louisville, KY",Trinity HS
Zach Mariani,Georgetown (KY),2026,70,165,,,SO,LHP,"Chicago, IL",Pinnacle HS
Manny Meilan,Georgetown (KY),2026,74,215,,,SR,RHP,"Panama City, Panama",St. Petersburg CC
Aidan Jbara,Georgetown (KY),2026,79,230,,,SR,INF,"Los Angeles, CA",Antelope Valley CC
Trenton Stukas,Georgetown (KY),2026,76,215,,,FR,OF,"Thornton, CO",Horizon HS
Branson Carson,Georgetown (KY),2026,72,195,,,SO,RHP,"Slippery Rock, PA",Slippery Rock University
Jaxon Perkins,Georgetown (KY),2026,70,185,,,FR,INF,"LaGrange, KY",Oldham County HS
JJ Menesini JJ Menesini,Johnson (TN),2026,69,,,,Junior,Second Base,"Vacaville, CA",
